Question,Type,Options,Required,Description
"Welcome to Cantripped Beta Testing!","Description","Thank you for testing Cantripped! We're building a community platform for Magic: The Gathering rule modifications and custom game variants. Your feedback will help us improve before our full launch.",FALSE,
"How easy was it to sign up and get started?","Multiple choice","Very easy,Easy,Neutral,Difficult,Very difficult",TRUE,
"What sign-in method did you use?","Multiple choice","Google,Discord,Email/Password,I didn't sign up",TRUE,
"If you had trouble signing up, what was the issue?","Short answer","",FALSE,
"Did you try creating a recipe? If yes, how was the experience?","Multiple choice","Yes it was intuitive,Yes but I needed help figuring it out,Yes but it was confusing,No I didn't try,No I couldn't find how to do it",TRUE,
"Did you try browsing/reading recipes? How was that experience?","Multiple choice","Great - easy to find and read recipes,Good - mostly clear,Okay - some confusion,Poor - hard to navigate,I didn't browse recipes",TRUE,
"How clear is the concept of 'recipes' for MTG rule modifications?","Multiple choice","Very clear - I immediately understood,Clear - made sense after looking around,Somewhat clear - needed some thinking,Unclear - confusing terminology,Very unclear - I don't get it",TRUE,
"What features did you use? (Check all that apply)","Checkboxes","Browsing recipes,Creating a recipe,Editing a recipe,Voting on recipes,Bookmarking recipes,Marking recipes as tried,Filtering by tags,Contact form,Profile setup",TRUE,
"Did you encounter any bugs or errors?","Multiple choice","No issues,Minor issues that didn't stop me,Major issues that prevented me from doing something,The site was mostly broken for me",TRUE,
"If you encountered bugs, please describe them:","Paragraph","",FALSE,
"How would you describe Cantripped to a friend?","Paragraph","",TRUE,
"What type of MTG rule modifications interest you most?","Checkboxes","Casual/fun variants,Competitive format tweaks,Deck building restrictions,Multiplayer modifications,Draft/limited variants,Commander/EDH modifications,Other",TRUE,
"Would you share your own rule modifications here?","Multiple choice","Definitely yes,Probably yes,Maybe,Probably not,Definitely not",TRUE,
"What features do you wish existed? (Check all that apply)","Checkboxes","Comments on recipes,Recipe ratings/reviews,Following other users,Recipe collections/folders,Advanced search,Mobile app,Recipe templates,Playtesting notes,Video/image uploads,Integration with deck builders,Other",FALSE,
"What's the #1 feature you'd want added next?","Short answer","",TRUE,
"How likely are you to recommend Cantripped to other Magic players? (0-10)","Linear scale","0,1,2,3,4,5,6,7,8,9,10",TRUE,
"What almost stopped you from using the site?","Multiple choice","Nothing - smooth experience,Confusing navigation,Unclear purpose,Technical issues,Required sign-up,Lack of content,Other",TRUE,
"Overall, how would you rate your experience?","Multiple choice","Excellent,Good,Fair,Poor,Very poor",TRUE,
"What did you like most about Cantripped?","Paragraph","",TRUE,
"What frustrated you the most?","Paragraph","",FALSE,
"Any other suggestions or comments?","Paragraph","",FALSE,
"Would you like us to follow up with you about your feedback?","Multiple choice","Yes (please provide email below),No thanks",FALSE,
"If yes, your email address:","Short answer","",FALSE, 
